2025-04-13 15:31:44.081814+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glClearNamedFramebufferuiv in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glClearNamedFramebufferuiv): symbol not found
2025-04-13 15:31:44.081834+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glClearTexImage in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glClearTexImage): symbol not found
2025-04-13 15:31:44.081844+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glClearTexSubImage in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glClearTexSubImage): symbol not found
2025-04-13 15:31:44.081860+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glClipControl in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glClipControl): symbol not found
2025-04-13 15:31:44.081917+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCompressedTextureSubImage1D in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCompressedTextureSubImage1D): symbol not found
2025-04-13 15:31:44.081935+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCompressedTextureSubImage2D in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCompressedTextureSubImage2D): symbol not found
2025-04-13 15:31:44.081946+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCompressedTextureSubImage3D in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCompressedTextureSubImage3D): symbol not found
2025-04-13 15:31:44.081961+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCopyBufferSubDataNV in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCopyBufferSubDataNV): symbol not found
2025-04-13 15:31:44.081972+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCopyImageSubData in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCopyImageSubData): symbol not found
2025-04-13 15:31:44.081983+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCopyNamedBufferSubData in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCopyNamedBufferSubData): symbol not found
2025-04-13 15:31:44.082018+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCopyTextureSubImage1D in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCopyTextureSubImage1D): symbol not found
2025-04-13 15:31:44.082030+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCopyTextureSubImage2D in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCopyTextureSubImage2D): symbol not found
2025-04-13 15:31:44.082041+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCopyTextureSubImage3D in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCopyTextureSubImage3D): symbol not found
2025-04-13 15:31:44.082052+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCreateBuffers in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCreateBuffers): symbol not found
2025-04-13 15:31:44.082063+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCreateFramebuffers in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCreateFramebuffers): symbol not found
2025-04-13 15:31:44.082079+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCreateProgramPipelines in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCreateProgramPipelines): symbol not found
2025-04-13 15:31:44.082090+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCreateQueries in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCreateQueries): symbol not found
2025-04-13 15:31:44.082105+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCreateRenderbuffers in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCreateRenderbuffers): symbol not found
2025-04-13 15:31:44.082120+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCreateSamplers in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCreateSamplers): symbol not found
2025-04-13 15:31:44.082140+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCreateTextures in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCreateTextures): symbol not found
2025-04-13 15:31:44.082150+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCreateTransformFeedbacks in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCreateTransformFeedbacks): symbol not found
2025-04-13 15:31:44.082161+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glCreateVertexArrays in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glCreateVertexArrays): symbol not found
2025-04-13 15:31:44.082177+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDebugMessageCallback in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDebugMessageCallback): symbol not found
2025-04-13 15:31:44.082187+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDebugMessageCallbackARB in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDebugMessageCallbackARB): symbol not found
2025-04-13 15:31:44.082198+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDebugMessageCallbackKHR in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDebugMessageCallbackKHR): symbol not found
2025-04-13 15:31:44.082208+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDebugMessageControl in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDebugMessageControl): symbol not found
2025-04-13 15:31:44.082219+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDebugMessageControlARB in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDebugMessageControlARB): symbol not found
2025-04-13 15:31:44.082229+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDebugMessageControlKHR in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDebugMessageControlKHR): symbol not found
2025-04-13 15:31:44.082240+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDebugMessageInsert in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDebugMessageInsert): symbol not found
2025-04-13 15:31:44.082251+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDebugMessageInsertARB in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDebugMessageInsertARB): symbol not found
2025-04-13 15:31:44.082261+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDebugMessageInsertKHR in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDebugMessageInsertKHR): symbol not found
2025-04-13 15:31:44.082300+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDeleteQueriesEXT in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDeleteQueriesEXT): symbol not found
2025-04-13 15:31:44.082348+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDeleteVertexArraysOES in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDeleteVertexArraysOES): symbol not found
2025-04-13 15:31:44.082406+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDisableVertexArrayAttrib in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDisableVertexArrayAttrib): symbol not found
2025-04-13 15:31:44.082427+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDispatchCompute in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDispatchCompute): symbol not found
2025-04-13 15:31:44.082442+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDispatchComputeIndirect in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDispatchComputeIndirect): symbol not found
2025-04-13 15:31:44.082472+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDrawArraysInstancedBaseInstance in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDrawArraysInstancedBaseInstance): symbol not found
2025-04-13 15:31:44.082523+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDrawElementsInstancedBaseInstance in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDrawElementsInstancedBaseInstance): symbol not found
2025-04-13 15:31:44.082540+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDrawElementsInstancedBaseVertexBaseInstance in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDrawElementsInstancedBaseVertexBaseInstance): symbol not found
2025-04-13 15:31:44.082565+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDrawTransformFeedbackInstanced in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDrawTransformFeedbackInstanced): symbol not found
2025-04-13 15:31:44.082587+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glDrawTransformFeedbackStreamInstanced in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glDrawTransformFeedbackStreamInstanced): symbol not found
2025-04-13 15:31:44.082609+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glEnableVertexArrayAttrib in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glEnableVertexArrayAttrib): symbol not found
2025-04-13 15:31:44.082638+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glEndQueryEXT in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glEndQueryEXT): symbol not found
2025-04-13 15:31:44.082677+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glFlushMappedNamedBufferRange in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glFlushMappedNamedBufferRange): symbol not found
2025-04-13 15:31:44.082691+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glFramebufferParameteri in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glFramebufferParameteri): symbol not found
2025-04-13 15:31:44.082751+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGenQueriesEXT in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGenQueriesEXT): symbol not found
